Position,Company,Location,Job Link,Applied?,Date Applied,Status,Interest Level,Notes
Junior Embedded Software Development Engineer,Sonos,"Seattle, WA (hybrid)",https://sonos.wd1.myworkdayjobs.com/Sonos/job/Boston-MA/Junior-Embedded-Software-Development-Engineer_R2728?source=Linkedin,Yes,07/03,Applied,High,Cool Stuff
Software Engineer 1,Renaissance Learning,Remote,https://job-boards.greenhouse.io/renaissancelearning-nam/jobs/5205535008?gh_src=z3ilbxha8us,Yes,07/12,Applied,Medium,
"Software Engineer, Product, New Grad",Terrakotta,"Seattle, WA","Software Engineer (Product, New Grad) at Terrakotta | Y Combinator",Yes,07/12,Applied,Medium,"Startup, 5 employees. Good Salary"
Junior Game Developer,Worldscape,"Seattle, WA",https://www.linkedin.com/jobs/view/4408889855/,Yes,07/03,Applied,High,Easy Apply on linkedin
Software Engineer I,DAT Freight & Analytics,"Seattle, WA",https://careers.dat.com/jobs/?gh_jid=6099144004,Yes,07/12,Applied,Medium,
Software Engineer I,Aledade,Remote,https://www.linkedin.com/jobs/view/4432846872/,Yes,07/12,Applied,Medium,
Early Career Software Engineer,Anduril,"Seattle, WA (and other cities)",https://job-boards.greenhouse.io/andurilindustries/jobs/5162263007?gh_jid=5162263007,Yes,07/03,Applied,Medium,"This is for January 2027, opens August 2026"
AI Product Engineer,"Vertex, Inc.",Remote,https://vertexinc.wd1.myworkdayjobs.com/VertexInc/job/Remote-USA/AI-Product-Engineer_JR102443-1?source=LinkedIn,,,,,Portfolio Required
Associate Product Engineer,MJH Life Sciences,Remote,https://mjhlifesciences.wd1.myworkdayjobs.com/Careers/job/United-States/Associate-Product-Engineer_JR102409-1?source=Linkedin,,,,,
Systems Engineer I - Test Automation,Torc,Remote,Job Application for Systems Engineer I - Test Automation at Torc Robotics,,,,,
Software Development Engineer,Wizards of the Coast,Renton,https://job-boards.greenhouse.io/hasbro/jobs/4260554009,Yes,07/12,Applied,High,Cool
"Software Development Engineer - Test, Graphics, Games & ML",Apple,Seattle,"Software Development Engineer - Test, Graphics, Games & ML - Jobs - Careers at Apple",Yes,07/12,Applied,Medium,
Game Design-Other,Valve,"Bellevue, WA",https://www.valvesoftware.com/en/jobs?job_id=63,Yes,07/12,Applied,High,Dream company. Long shot
"Associate Engineer, Multimedia",Nintendo,"Redmond, WA",https://careers.nintendo.com/jobs/4101489009/?gh_src=t3e04z7s9us,Yes,07/19,Applied,High,Newest One I found
Jr Dev Ops Engineer,The Patrick J. McGovern Foundation,Remote,https://www.linkedin.com/jobs/view/4404704093/,,,,,
Software Engineer,Wowsa,Remote,https://www.linkedin.com/jobs/view/4438507676/,Yes,07/19,Applied,,Accepts Hobbyist experience in gaming/streaming
Software Engineer I,XKL,"Redmond, WA",https://recruiting.paylocity.com/Recruiting/Jobs/Apply/4149692/XKL-LLC?source=LinkedIn_Feed,Yes,07/19,Applied,Medium,
Cloud FinOps Platform Engineer,Hasbro,"Renton, WA",https://job-boards.greenhouse.io/hasbro/jobs/4288855009,,,,,I don't know what experience you have with cloud stuff.
Technical Support Engineer,CoreWeave,"Bellevue, WA",https://coreweave.com/careers/job?gh_jid=4588221006&board=weights_and_biases,Yes,07/19,Applied,Medium,
 Open Source Machine Learning Engineer,Hugging Face,Remote,Open-Source Machine Learning Engineer - US Remote - Hugging Face,,,,,
"Systems Engineer, Early Career",NScale,Seattle (Hybrid),https://job-boards.eu.greenhouse.io/nscaleoperationsukltd/jobs/4921849101?gh_src=d3b2n1q2teu,Yes,07/19,Applied,High,
"Analyst, Junior Developer",UST,"Bellevue, WA (Remote)",https://usource.ripplehire.com/candidate/?token=8YxWjpwDhdL62DFYUIcQ&lang=en&source=USTLINKEDIN&ref=USTLINKEDIN#detail/job/61263,Yes,07/19,Applied,Medium,
"Jr. Software Engineer, Mobile",Carbon Robotics,"Seattle, WA",https://carbonrobotics.com/job-openings?gh_jid=4672952006&t=f4ba87bb6us&gh_src=224b2f9e6us,Yes,07/19,Applied,,
Junior/Entry Level Software Engineer,Synergistic IT,"Seattle, Wa",https://www1.jobdiva.com/portal/?a=ygjdnwl6apzmff6t82vdutfvbydrtq07d9es5jck4la1ce7huuaom4zlm4i0c94q&compid=0#/jobs/32633576?jobtitle=Junior%2FEntry+Level+Software+Engineer,Yes,08/11,Applied,,This looks more like a job placement company than a 
"Software Engineer, New Grad - Production Infrastructur",Palantir,"Seattle, WA","Description: https://www.linkedin.com/jobs/view/4434155092/, Application: https://jobs.lever.co/palantir/4d5a144e-87ea-45e2-a68c-3fad590629af/apply?lever-source=LinkedIn",Yes,08/11,Applied,,Reposted position
"Software Engineer, Corporate Gen AI",Visa,"Bellevue, WA",Decription: https://www.linkedin.com/jobs/view/4444475720/ Application: https://visa.wd5.myworkdayjobs.com/Visa/job/US---Bellevue-WA/Software-Engineer---Corporate-GenAI_REF085070W/apply?share_id=LinkedIn_corporate_page,,,,,
Systems Development Engineer,Amazon,"Seattle, WA",https://www.amazon.jobs/en/jobs/10411538/systems-development-engineer?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,Yes,08/11,Applied,,This is different job than the software development engineer job they are contacting you about
Software Development Engineer (2026),Amazon,National (inc WA),Software Development Engineer - 2026 (US) - Job ID: 3177934 | Amazon.jobs,Yes,08/11,Applied,,Rolling application/recruitment
Software Development Engineer I - Early Career (2026 Starts),Blue Origin,"Kent, WA",Software Development Engineer I - Early Career (2026 Starts),,,,,Does not exist anymore
R&D Talent Community,ExtraHop,Remote/Seattle,https://job-boards.greenhouse.io/extrahopnetworks/jobs/5718452004?gh_src=a772c23d4us&__jvst=Job%2520Board&__jvsd=LinkedIn,,,,,
"Software Engineer, Platform Team",Spacex (Starlink),"Redmond, WA",https://job-boards.greenhouse.io/spacex/jobs/8637713002?gh_jid=8637713002&gh_src=3c0864192,,,,,
"Software Development Engineer I, ML Infra Services, Annapurna Labs",Spacex,"Redmond, WA",https://job-boards.greenhouse.io/spacex/jobs/8558857002?gh_jid=8558857002&gh_src=3c0864192,,,,,
,Amazon Web Services,"Seattle, WA",https://www.amazon.jobs/en/jobs/10464040/software-development-engineer-i-ml-infra-services-annapurna-labs?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid,,,,,
"Software Engineer, AI Infrastructure - USDS",TikTok,"Seattle, WA",https://www.linkedin.com/jobs/view/4443527996/,,,,,
Engineer 1: AI Agentic,Nordstrom,"Hybrid, Seattle",https://careers.nordstrom.com/engineer-1-ai-agentic-solutions-hybrid-seattle-wa/job/034F0C6F37A50C0C40305F43D608E50C?source=LinkedIn,,,,,
"Systems Engineer, Early Career",NScale,"Hybrid, Seattle",https://job-boards.eu.greenhouse.io/nscaleoperationsukltd/jobs/4921849101?gh_src=d3b2n1q2teu,Yes,08/11,Applied,,
"New Graduate Engineer, Software - '26/'27 (Starlink)",Starlink,"Redmond, WA",https://job-boards.greenhouse.io/spacex/jobs/8696058002?gh_jid=8696058002&gh_src=3c0864192,,,,,
"New Graduate Engineer, Software Security - '26/'27 (Starlink)",Starlink,"Redmond, WA",https://job-boards.greenhouse.io/spacex/jobs/8696143002?gh_jid=8696143002&gh_src=3c0864192,,,,,
Multi-Cloud CDN Scheduling Platform Engineer Graduate (CDN Platform) - 2027 Start,ByteDance,"Seattle, WA",https://joinbytedance.com/search/7670355132899526965,,,,,
Machine Learning Engineer Graduate (AML-Engine-Orchestration) - 2027 Start,ByteDance,"Seattle, WA",Machine Learning Engineer Graduate (AML-Engine-Orchestration) - 2027 Start,,,,,
Agent Evaluation & Evolution Machine Learning Engineer Graduate (AML-Ark-US) - 2027 Start,ByteDance,"Seattle, WA",https://joinbytedance.com/search/7672391016194066693,,,,,
Software Engineer Graduate (AI Infrastructure-Compute Efficiency & Scheduling) - 2027 Start,ByteDance,"Seattle, WA",https://joinbytedance.com/search/7668799020705679669,,,,,
"Contract Associate Engineer, Software Development",Komo Photo,"Seattle, WA",https://edyy.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2002/job/16722/?location=Seattle%252C+WA%252C+United+States&locationId=300000001961183&locationLevel=city&radius=0&radiusUnit=MI,,,,,
Entry Level Software Enginieer,"Emonics, LLC","Seattle, WA",https://www.linkedin.com/jobs/view/4451687632/,,,,,
Entry Level Software Enginieer,Pariveda,"Seattle, Hybrid",About the job: https://www.linkedin.com/jobs/view/4446282486/ To Apply: https://jobs.ashbyhq.com/pariveda/cc4fc0be-c414-4aba-a15d-64daa03476a0/application?utm_source=LinkedInPaid,,,,,
"Associate Engineer, Software",TMobile,"Bellevue, WA",https://careers.t-mobile.com/associate-engineer-software/job/0E6E6AC3AFA471593AB24B967317E7A0?source=LinkedIn&codes=INT-LinkedIn,,,,,
Associate AI Engineer,TMobile,"Bellevue, WA",https://www.wayup.com/i-Telecommunications-j-Associate-AI-Engineer-T-Mobile-46954450734948/,,,,,
Software Engineer II,Walmart,"Seattle, WA",https://careers.walmart.com/us/en/jobs/R-2437482?source=Job_Board_ZipRecruiter_Organic_Feed&utm_source=Job_Board_ZipRecruiter_Organic_Feed&utm_campaign=74344877631&_ccid=1786753274219tii795whh,,,,,
Entry Level Software Systems Engineer,General Dynamics Mission Systems,"Port Orchard, WA",https://careers-gdms.icims.com/jobs/73755/entry-level-software-systems-engineer/job?mode=job&iis=Job+Board&iisn=ZipRecruiter%3Fmode%3Dapply&iis=Job+Board&iisn=ZipRecruiter%3Fmode%3Dapply&iis=Job+Board&iisn=ZipRecruiter&mobile=false&width=1340&height=500&bga=true&needsRedirect=false&jan1offset=-480&jun1offset=-420,,,,,
Software Development Engineer II,Premera,"Mountlake Terrace, WA",https://premera.wd5.myworkdayjobs.com/Premera/job/Software-Development-Engineer-II_R28973?utm_source=ziprecruiter,,,,,
Software Engineer,Maincode,"Seattle, WA",https://jobs.ashbyhq.com/maincode/5116c58b-73f4-4d5d-ae69-6becfc263b15?utm_source=ziprecruiter,,,,,
CONTRACT - Associate Game Designer (NST),Nintendo,"Redmond, WA",https://careers.nintendo.com/jobs/4330353009/,,,,,
Software Engineer I,The Trade Desk,"Bellevue, WA",https://www.ziprecruiter.com/job-redirect/share?match_token=Co8BChZBdG9ENHVYTFVHTG5ONExOTTZCRFh3EiQwMWEwMDJjOS1kOWU0LTc3MzgtYjE4Zi02NmExMmYyMjdiNTIaS0FBRXNVX1U0YVBNREF3RnJOR0Ryd1Bjd28zUjhPSUpmVDhTeC1MUnAzWlB5VUR1OHFrbzBxSEJFamh2QWI3RXJKRHZMSjJwM1JJNCCo2AIQARjWrQU%3D&tsid=100000404,,,,,
